source,key,date_added,en,sv,da,de,es,fr,is,it,no,pl,zh
reusable_ui,marker_layer,2026-03-14,"Marker layer","Markörlager","Markørlag","Markierungsebene","Capa de marcadores","Calque de marqueurs","Staðmerkjalag","Livello marker","Markørlag","Warstwa znaczników",标记层
reusable_ui,private_markers,2026-03-14,"Private markers","Privata markörer","Private markører","Private Marken","Marcadores privados","Marqueurs privés","Einkamerki","Marcatori privati","Private markører","Prywatne znaczniki",私有标记
reusable_ui,shared_markers,2026-03-14,"Shared markers","Delade markörer","Delte markører","Geteilte Marken","Marcadores compartidos","Marqueurs partagés","Stjórnandamerki","Marcatori condivisi","Delte markører","Współdzielone znaczniki",共享标记
reusable_ui,private_marker,2026-03-14,"Private marker","Privat markör","Privat markør","Private Marke","Marcador privado","Marqueur privé","Einkamerki","Marcatore privato","Privat markør","Prywatny znacznik",私有标记
reusable_ui,shared_marker,2026-03-14,"Shared marker","Delad markör","Delt markør","Geteilte Marke","Marcador compartido","Marqueur partagé","Stjórnandamerki","Marcatore condiviso","Delt markør","Współdzielony znacznik",共享标记
reusable_ui,selected_markers_scope,2026-03-14,"Selected markers","Valdir markörer","Valgte markører","Ausgewählte Markierungen","Marcadores seleccionados","Marqueurs sélectionnés","Valin staðmerki","Marcatori selezionati","Valgte markører","Wybrane znaczniki",已选标记
reusable_ui,my_layer,2026-03-14,"My layer","Mitt lager","Mit lag","Meine Ebene","Mi capa","Mon calque","Mitt lag","Il mio livello","Mitt lag","Moja warstwa",我的图层
reusable_ui,owner_base_layer,2026-03-14,"Owner base layer","Ägarens grundlager","Ejerens basislag","Basis-Ebene des Eigentümers","Capa base del propietario","Calque de base du propriétaire","Grunnlag eiganda","Livello base del proprietario","Eierens basislag","Warstwa bazowa właściciela",所有者基础层
reusable_ui,my_markers,2026-03-14,"My markers","Mina markörer","Mine markører","Meine Marken","Mis marcadores","Mes marqueurs","Mín staðmerki","I miei marcatori","Mine markører","Moje znaczniki",我的标记
reusable_ui,owner_markers,2026-03-14,"Owner markers","Ägarens markörer","Ejerens markører","Eigentümer-Marken","Marcadores del propietario","Marqueurs du propriétaire","Staðmerki eiganda","Marcatori del proprietario","Eierens markører","Znaczniki właściciela",所有者标记
reusable_ui,my_marker,2026-03-14,"My marker","Min markör","Min markør","Meine Marke","Mi marcador","Mon marqueur","Mitt staðmerki","Il mio marcatore","Min markør","Mój znacznik",我的标记
reusable_ui,owner_marker,2026-03-14,"Owner marker","Ägarmarkör","Ejer-markør","Eigentümer-Marke","Marcador del propietario","Marqueur du propriétaire","Staðmerki eiganda","Marcatore del proprietario","Eiermarkør","Znacznik właściciela",所有者标记
reusable_ui,place_marker_on_current_layer,2026-03-14,"Place marker on current layer","Placera markör på aktuellt lager","Placér markør på aktuelt lag","Marke auf aktueller Ebene setzen","Colocar marcador en la capa actual","Placer un marqueur sur le calque actuel","Setja staðmerki á núverandi lag","Posiziona marcatore sul livello corrente","Plasser markør på gjeldende lag","Umieść znacznik na bieżącej warstwie",在当前图层放置标记
reusable_ui,place_marker,2026-03-14,"Place marker","Placera markör","Placér markør","Marke setzen","Colocar marcador","Placer un marqueur","Setja staðmerki","Posiziona marcatore","Plasser markør","Umieść znacznik",放置标记
reusable_ui,place_owner_marker,2026-03-14,"Place owner marker","Placera ägarmarkör","Placér ejer-markør","Eigentümer-Marke setzen","Colocar marcador del propietario","Placer un marqueur propriétaire","Setja staðmerki eiganda","Posiziona marcatore del proprietario","Plasser eiermarkør","Umieść znacznik właściciela",放置所有者标记
reusable_ui,place_my_marker,2026-03-14,"Place my marker","Placera min markör","Placér min markør","Meine Marke setzen","Colocar mi marcador","Placer mon marqueur","Setja mitt staðmerki","Posiziona il mio marcatore","Plasser min markør","Umieść mój znacznik",放置我的标记
reusable_ui,page,2026-03-14,"Page","Sida","Side","Seite","Página","Page","Síða","Pagina","Side","Strona",页
reusable_ui,upper,2026-03-14,"upper","övre","øverst","oben","superior","haut","efri","alto","øvre","góra",上部
reusable_ui,middle,2026-03-14,"middle","mitten","midt","Mitte","medio","milieu","miðja","centro","midten","środek",中部
reusable_ui,lower,2026-03-14,"lower","nedre","nederst","unten","inferior","bas","neðri","basso","nedre","dół",下部
reusable_ui,no_personal_markers_yet,2026-03-14,"No personal markers yet.","Inga personliga markörer ännu.","Ingen personlige markører endnu.","Noch keine persönlichen Marken.","Todavía no hay marcadores personales.","Aucun marqueur personnel pour le moment.","Engin persónuleg staðmerki enn.","Ancora nessun marcatore personale.","Ingen personlige markører ennå.","Brak prywatnych znaczników.",还没有个人标记。
reusable_ui,no_owner_markers_yet,2026-03-14,"No owner markers yet.","Inga ägarmarkörer ännu.","Ingen ejer-markører endnu.","Noch keine Eigentümer-Marken.","Todavía no hay marcadores del propietario.","Aucun marqueur propriétaire pour le moment.","Engin staðmerki eiganda enn.","Ancora nessun marcatore del proprietario.","Ingen eiermarkører ennå.","Brak znaczników właściciela.",还没有所有者标记。
reusable_ui,owner_markers_unavailable_here,2026-03-14,"Owner markers unavailable here.","Ägarmarkörer är inte tillgängliga här.","Ejer-markører er ikke tilgængelige her.","Eigentümer-Marken sind hier nicht verfügbar.","Los marcadores del propietario no están disponibles aquí.","Les marqueurs du propriétaire ne sont pas disponibles ici.","Staðmerki eiganda eru ekki tiltæk hér.","I marcatori del proprietario non sono disponibili qui.","Eiermarkører er ikke tilgjengelige her.","Znaczniki właściciela nie są tu dostępne.",此处无法使用所有者标记。
reusable_ui,no_shared_markers_yet,2026-03-14,"No shared markers yet.","Inga delade markörer ännu.","Ingen delte markører endnu.","Noch keine geteilten Marken.","Todavía no hay marcadores compartidos.","Aucun marqueur partagé pour le moment.","Engin sameiginleg staðmerki enn.","Ancora nessun marcatore condiviso.","Ingen delte markører ennå.","Brak współdzielonych znaczników.",还没有共享标记。
reusable_ui,shared_markers_unavailable_here,2026-03-14,"Shared markers unavailable here.","Delade markörer är inte tillgängliga här.","Delte markører er ikke tilgængelige her.","Geteilte Marken sind hier nicht verfügbar.","Los marcadores compartidos no están disponibles aquí.","Les marqueurs partagés ne sont pas disponibles ici.","Sameiginleg staðmerki eru ekki tiltæk hér.","I marcatori condivisi non sono disponibili qui.","Delte markører er ikke tilgjengelige her.","Współdzielone znaczniki nie są tu dostępne.",此处无法使用共享标记。
reusable_ui,add_another,2026-03-14,"Add another","Lägg till en till","Tilføj en mere","Weitere hinzufügen","Añadir otro","Ajouter un autre","Bæta við öðru","Aggiungi un altro","Legg til en til","Dodaj kolejny",再添加一个
reusable_ui,reposition,2026-03-14,"Reposition","Flytta om","Flyt igen","Neu positionieren","Reubicar","Repositionner","Færa til","Riposiziona","Flytt på nytt","Przesuń ponownie",重新定位
reusable_ui,marker,2026-03-14,"Marker","Markör","Markør","Marke","Marcador","Marqueur","Staðmerki","Marcatore","Markør","Znacznik",标记
reusable_ui,tap_new_marker_position,2026-03-14,"Tap the new marker position.","Tryck på markörens nya position.","Tryk på markørens nye position.","Tippe auf die neue Position der Marke.","Toca la nueva posición del marcador.","Touchez la nouvelle position du marqueur.","Pikkaðu á nýja staðsetningu staðmerkisins.","Tocca la nuova posizione del marcatore.","Trykk på markørens nye plassering.","Stuknij nowe położenie znacznika.",轻点标记的新位置。
reusable_ui,marker_repositioned,2026-03-14,"Marker repositioned.","Markören flyttades.","Markøren blev flyttet.","Marke neu positioniert.","Marcador reubicado.","Marqueur repositionné.","Staðmerki fært til.","Marcatore riposizionato.","Markøren ble flyttet.","Znacznik został przesunięty.",标记已重新定位。
reusable_ui,tap_score_place_owner_marker,2026-03-14,"Tap the score to place an owner marker.","Tryck på notbilden för att placera en ägarmarkör.","Tryk på noden for at placere en ejer-markør.","Tippe auf die Partitur, um eine Eigentümer-Marke zu setzen.","Toca la partitura para colocar un marcador del propietario.","Touchez la partition pour placer un marqueur propriétaire.","Pikkaðu á nóturnar til að setja staðmerki eiganda.","Tocca lo spartito per posizionare un marcatore del proprietario.","Trykk på notebildet for å plassere en eiermarkør.","Stuknij nuty, aby umieścić znacznik właściciela.",轻点乐谱以放置所有者标记。
reusable_ui,tap_score_place_your_marker,2026-03-14,"Tap the score to place your marker.","Tryck på notbilden för att placera din markör.","Tryk på noden for at placere din markør.","Tippe auf die Partitur, um deine Marke zu setzen.","Toca la partitura para colocar tu marcador.","Touchez la partition pour placer votre marqueur.","Pikkaðu á nóturnar til að setja þitt staðmerki.","Tocca lo spartito per posizionare il tuo marcatore.","Trykk på notebildet for å plassere markøren din.","Stuknij nuty, aby umieścić swój znacznik.",轻点乐谱以放置你的标记。
reusable_ui,owner_marker_added,2026-03-14,"Owner marker added.","Ägarmarkör tillagd.","Ejer-markør tilføjet.","Eigentümer-Marke hinzugefügt.","Marcador del propietario añadido.","Marqueur propriétaire ajouté.","Staðmerki eiganda bætt við.","Marcatore del proprietario aggiunto.","Eiermarkør lagt til.","Dodano znacznik właściciela.",已添加所有者标记。
reusable_ui,marker_added,2026-03-14,"Marker added.","Markör tillagd.","Markør tilføjet.","Marke hinzugefügt.","Marcador añadido.","Marqueur ajouté.","Staðmerki bætt við.","Marcatore aggiunto.","Markør lagt til.","Dodano znacznik.",已添加标记。
